BNB,BTC,ADA,DOGE,ETH,LTC,SOL,USDT,TRX,USDC
1.0,0.856401362941778,0.8933217999054702,0.8893868174195677,0.9042598733183527,0.6436278240779447,0.9480309831563736,-0.08121210296508477,0.7276378581357686,-0.21744693467852358
0.856401362941778,1.0,0.8550171034508134,0.64820564372464,0.9041473285726191,0.8126786934680198,0.7168565883134324,0.03640080553305397,0.6509136463838014,-0.32381519391198915
0.8933217999054702,0.8550171034508134,1.0,0.8309188778688418,0.960793129178839,0.7666196610779219,0.930088787558542,-0.06934735328448682,0.7959928163513791,-0.23676462455423974
0.8893868174195677,0.64820564372464,0.8309188778688418,1.0,0.8377405913521104,0.5407267280092238,0.9299617324712642,0.0008332624150825214,0.6402986452930449,-0.16883956786543725
0.9042598733183527,0.9041473285726191,0.960793129178839,0.8377405913521104,1.0,0.8312737194506661,0.9272814722371306,0.03150107618787083,0.7878820120445427,-0.27430133098665865
0.6436278240779447,0.8126786934680198,0.7666196610779219,0.5407267280092238,0.8312737194506661,1.0,0.8055455723141884,0.0825599264515252,0.7939118900757323,-0.2923887323820613
0.9480309831563736,0.7168565883134324,0.930088787558542,0.9299617324712642,0.9272814722371306,0.8055455723141884,1.0,-0.1351496964547685,0.8859680898613381,-0.04846435845704341
-0.08121210296508477,0.03640080553305397,-0.06934735328448682,0.0008332624150825214,0.03150107618787083,0.0825599264515252,-0.1351496964547685,1.0,-0.07244552884703537,0.22768261244074686
0.7276378581357686,0.6509136463838014,0.7959928163513791,0.6402986452930449,0.7878820120445427,0.7939118900757323,0.8859680898613381,-0.07244552884703537,1.0,-0.1924711001005032
-0.21744693467852358,-0.32381519391198915,-0.23676462455423974,-0.16883956786543725,-0.27430133098665865,-0.2923887323820613,-0.04846435845704341,0.22768261244074686,-0.1924711001005032,1.0
